ID;Name;Longitude_WGS84;Latitude_WGS84;AdmArea;District;RouteNumbers;StationName;Direction;Pavilion;OperatingOrgName;EntryState;global_id;PlaceDescription;Works;geodata_center;geoarea
Локальный идентификатор;Наименование;Долгота в WGS-84;Широта в WGS-84;Административный округ;Район;Маршруты;Название остановки;Направление;Наличие павильона;Балансодержатель павильона ожидания (пилона, табло, АПБ);Состояние записи;global_id;Описание места расположения объекта;Работы;geodata_center;geoarea
18258;«П-ка № 180», 1-й Пенягинский проезд (от центра) (18258);37.35175255;55.83169246;Северо-Западный административный округ;район Митино;АС3;П-ка № 180;от центра;да;ГУП «Мосгортранс»;активна;889142289;Уваровский пер., д.3;;;
18259;«Бассейн», 1-й Пенягинский проезд (в центр) (18259);37.35365966;55.83151882;Северо-Западный административный округ;район Митино;АС3;Бассейн;в центр;нет;;активна;889142290;ул. Генерала Белобородова, д.24;;;
18261;«Ул. Гурьянова, 41», улица Гурьянова (от центра) (18261);37.71728376;55.68265409;Юго-Восточный административный округ;район Печатники;А292;Ул. Гурьянова, 41;от центра;да;ГУП «Мосгортранс»;активна;889142291;ул. Гурьянова, д.41А;;;
18262;«Ул. Гурьянова, 41», улица Гурьянова (в центр) (18262);37.7175582;55.68300652;Юго-Восточный административный округ;район Печатники;А292;Ул. Гурьянова, 41;в центр;да;ГУП «Мосгортранс»;активна;889142292;ул. Гурьянова, д.41А;;;
18263;«Ул. Гурьянова, 55», улица Гурьянова (от центра) (18263);37.71639936;55.67954034;Юго-Восточный административный округ;район Печатники;А292;Ул. Гурьянова, 55;от центра;да;ГУП «Мосгортранс»;активна;889142293;ул. Гурьянова, д.55;;;
18264;«Ул. Гурьянова, 55», улица Гурьянова (в центр) (18264);37.71664763;55.6799089;Юго-Восточный административный округ;район Печатники;А292;Ул. Гурьянова, 55;в центр;да;ГУП «Мосгортранс»;активна;889142294;ул. Гурьянова, д.55;;;
18265;«Ул. Гурьянова, 77», улица Гурьянова (от центра) (18265);37.71645731;55.67610588;Юго-Восточный административный округ;район Печатники;А292;Ул. Гурьянова, 77;от центра;да;ГУП «Мосгортранс»;активна;889142295;ул. Гурьянова, д.61;;;
18266;«Ул. Гурьянова, 77», улица Гурьянова (в центр) (18266);37.71671023;55.67679583;Юго-Восточный административный округ;район Печатники;А292;Ул. Гурьянова, 77;в центр;да;ГУП «Мосгортранс»;активна;889142296;ул. Гурьянова, д.61;;;
18268;«Поповка», Дорожная улица (от центра) (18268);37.23008127;55.51359501;Троицкий административный округ;поселение Первомайское;"А304; А422; А526; А875";Поповка;от центра;да;ГУП «Мосгортранс»;активна;889142297;Центральная ул., д.34;;;
18269;«Поповка», Дорожная улица (в центр) (18269);37.22916146;55.51406499;Троицкий административный округ;поселение Первомайское;"А304; А422; А526; А875";Поповка;в центр;да;ГУП «Мосгортранс»;активна;889142298;Центральная ул., д.33;;;
18274;«Кудринская пл.», Новинский бульвар (от центра) (18274);37.58473307;55.75799594;Центральный административный округ;район Арбат;"А239; АБК; АС369";Кудринская пл.;от центра;да;ГУП «Мосгортранс»;активна;889142299;Новинский бульв., д.28;;;
18276;«Районный суд», Панфиловский проспект (от центра) (18276);37.16329136;55.97728956;Зеленоградский административный округ;район Крюково;"АЗ-15; АЗ-25";Районный суд;от центра;да;ГУП «Мосгортранс»;активна;889142301;Панфиловский просп., д.1801;;;
18277;«Корпус 1538», улица Каменка (в центр) (18277);37.1617507;55.97820677;Зеленоградский административный округ;район Крюково;"А400К; А400Т; АЗ-1; АЗ-5; АЗ-14; АЗ-19; АЗ-22";Корпус 1538;в центр;да;ГУП «Мосгортранс»;активна;889142302;Каменка ул., д.1538;;;
18278;«МФЦ «Южное Медведково», Полярная улица (в центр) (18278);37.63783552;55.87184217;Северо-Восточный административный округ;район Южное Медведково;"А124; А393; А428; А928; Ан6; АО17";МФЦ «Южное Медведково»;в центр;нет;;активна;889142303;Полярная ул., д.1;;"{""coordinates"":[37.63783552,55.87184217],""type"":""Point""}";
18279;«Ул. Менжинского, 38», улица Менжинского (от центра) (18279);37.65951787;55.87035569;Северо-Восточный административный округ;Бабушкинский район;Тм17;Ул. Менжинского, 38;от центра;да;ГУП «Мосгортранс»;активна;889142304;ул. Менжинского, д.23, к.1;;;
18285;«Метро «Домодедовская», Каширское шоссе (в центр) (18285);37.71833516;55.60971853;Южный административный округ;район Орехово-Борисово Южное;"А1185; Ае85";Метро «Домодедовская»;в центр;да;ГУП «Мосгортранс»;активна;889142305;Ореховый бульв., д.14, к.3;;;
18327;«Ул. Лобачевского, 116», улица Лобачевского (от центра) (18327);37.47173528;55.69071881;Западный административный округ;район Раменки;"А42; А120; А219; А325; А459; А688";Ул. Лобачевского, 116;от центра;нет;;активна;889142308;ул. Лобачевского, д.116;;;
18329;«5-я Магистральная ул.», Хорошёвское шоссе (в центр) (18329);37.53072658;55.77648984;Северный административный округ;Хорошёвский район;"А345; Ам35; Ас364; Ат86";5-я Магистральная ул.;в центр;нет;;активна;889142309;Хорошёвское ш., д.21;;;
18330;«Пр. Берёзовой Рощи, 2», улица Гризодубовой (от центра) (18330);37.52166744;55.7845422;Северный административный округ;Хорошёвский район;"А175; А322";Пр. Берёзовой Рощи, 2;от центра;да;ГУП «Мосгортранс»;активна;889142310;пр. Берёзовой Рощи, д.2;;;
18336;«Метро «Варшавская», Чонгарский бульвар (в центр) (18336);37.61749279;55.65306558;Южный административный округ;Нагорный район;"АМ68; Ас163";Метро «Варшавская»;в центр;нет;;активна;889142311;Чонгарский бульв., д.3;;"{""coordinates"":[37.61749279,55.65306558],""type"":""Point""}";
1000166;«Ул. Довженко», улица Довженко (в центр) (1000166);37.51752836;55.72301193;Западный административный округ;район Раменки;"А67; А91к";Ул. Довженко;в центр;нет;;активна;889142312;ул. Довженко, д.3;;;
1000167;«Ул. Довженко», улица Довженко (от центра) (1000167);37.51689667;55.72289117;Западный административный округ;район Раменки;"А67; А91к";Ул. Довженко;от центра;нет;;активна;889142313;ул. Довженко, д.4, к.1;;;
1000168;«Метро «Выхино», улица Хлобыстова (от центра) (1000168);37.81886097;55.71487145;Юго-Восточный административный округ;район Выхино-Жулебино;"А209; АМ78";Метро «Выхино»;от центра;да;ГУП «Мосгортранс»;активна;889142314;Рязанский просп., д.99;;;
1000169;«Ул. Бехтерева», улица Бехтерева (от центра) (1000169);37.64517833;55.61810007;Южный административный округ;район Царицыно;"А818; Ас823";Ул. Бехтерева;от центра;нет;;активна;889142315;ул. Бехтерева, д.41, к.1;;;
1000171;«Ул. Бехтерева», улица Бехтерева (в центр) (1000171);37.64556953;55.61834422;Южный административный округ;район Царицыно;"А818; Ас823";Ул. Бехтерева;в центр;нет;;активна;889142316;ул. Бехтерева, д.41, к.1;;;
1000172;«Севанская ул.», улица Бехтерева (от центра) (1000172);37.64645712;55.62383715;Южный административный округ;район Царицыно;"А818; Ас823";Севанская ул.;от центра;нет;;активна;889142317;Севанская ул., д.25;;;
1000173;«Ул. Яблочкова, 6», улица Яблочкова (в центр) (1000173);37.58182626;55.81525712;Северо-Восточный административный округ;Бутырский район;"А23; А126; Ас532; Ас585";Ул. Яблочкова, 6;в центр;нет;;активна;889142318;ул. Яблочкова, д.5;;;
1000175;«Ул. Яблочкова, 6», улица Яблочкова (от центра) (1000175);37.58194565;55.81579121;Северо-Восточный административный округ;Бутырский район;"А23; А126; Ас532; Ас585";Ул. Яблочкова, 6;от центра;нет;;активна;889142320;ул. Яблочкова, д.6А;;;
1000178;«Ул. Островитянова, 37», улица Введенского (от центра) (1000178);37.52892826;55.63310597;Юго-Западный административный округ;район Коньково;"А361; А754";Ул. Островитянова, 37;от центра;нет;;активна;889142321;ул. Островитянова, д.37А;;"{""coordinates"":[37.52892826,55.63310597],""type"":""Point""}";
1000179;«Ул. Введенского, 26», улица Введенского (от центра) (1000179);37.53440607;55.63531414;Юго-Западный административный округ;район Коньково;"А361; А754";Ул. Введенского, 26;от центра;нет;;активна;889142322;ул. Введенского, д.26;;"{""coordinates"":[37.53440607,55.63531414],""type"":""Point""}";
1000215;«Нововатутинский просп.», Нововатутинский проспект (от центра) (1000215);37.34891107;55.51899306;Новомосковский административный округ;поселение Десеновское;"А117; А422; А873; А876; А991; АС18";Нововатутинский просп.;от центра;да;ГУП «Мосгортранс»;активна;889142323;Нововатутинский просп., д.12;;;
1000216;«Нововатутинский просп.», Нововатутинский проспект (в центр) (1000216);37.34845558;55.51792177;Новомосковский административный округ;поселение Десеновское;"А117; А422; А873; А876; А991; АС18";Нововатутинский просп.;в центр;да;ГУП «Мосгортранс»;активна;889142324;Нововатутинский просп., д.9;;;
